Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
The Love Bug,Robert Stevenson,Dean Jones,1969,6.5,48,G,Comedy,108
The Curse of Bridge Hollow,Jeff Wadlow,Marlon Wayans,2022,5.6,38,TV-14,Adventure,89
Troop Zero,Bertie Ellwood,Mckenna Grace,2019,6.9,58,PG,Comedy,94
Artemis Fowl,Kenneth Branagh,Ferdia Shaw,2020,4.3,31,PG,Adventure,95
Autumn and the Black Jaguar,Gilles de Maistre,Emily Bett Rickards,2024,5.6,57.1,PG,Adventure,100
Our Town,Sam Wood,William Holden,1940,6.5,57.1,Approved,Drama,90
A Christmas Carol,Robert Zemeckis,Jim Carrey,2009,6.8,55,PG,Animation,96
The Peanuts Movie,Steve Martino,Noah Schnapp,2015,7,67,G,Animation,88
Mary and the Witch's Flower,Hiromasa Yonebayashi,Hana Sugisaki,2017,6.8,74,PG,Animation,103
The Great Muppet Caper,Jim Henson,Jim Henson,1981,7.1,70,G,Adventure,97
Zoey 102,Nancy Hower,Jamie Lynn Spears,2023,4.9,57.1,TV-14,Comedy,101
Luv Ki Arrange Marriage,Ishrat R. Khan,Ravi Chauhan,2024,4.7,57.1,PG,Comedy,100
Escape to Witch Mountain,John Hough,Eddie Albert,1975,6.3,60,G,Adventure,97
The Spy Next Door,Brian Levant,Jackie Chan,2010,5.4,27,PG,Action,94
Teenage Mutant Ninja Turtles III,Stuart Gillard,Elias Koteas,1993,4.8,40,PG,Action,96
The Secret Garden,Marc Munden,Dixie Egerickx,2020,5.6,59,PG,Drama,99
Eight Below,Frank Marshall,Paul Walker,2006,7.3,64,PG,Adventure,120
Smallfoot,Karey Kirkpatrick,Channing Tatum,2018,6.6,60,PG,Animation,96
Red Dog,Kriv Stenders,Josh Lucas,2011,7.3,57.1,PG,Biography,92
The Greatest Show on Earth,Cecil B. DeMille,James Stewart,1952,6.5,76,Approved,Drama,152
Muppets Most Wanted,James Bobin,Ricky Gervais,2014,6.4,61,PG,Adventure,107
Finding 'Ohana,Jude Weng,Kea Peahu,2021,6.1,69,PG,Action,123
Akeelah and the Bee,Doug Atchison,Angela Bassett,2006,7.4,72,PG,Drama,112
The Many Adventures of Winnie the Pooh,John Lounsbery,Sebastian Cabot,1977,7.5,57.1,G,Animation,74
Cloak & Dagger,Richard Franklin,Henry Thomas,1984,6.6,64,PG,Action,101
Stan & Ollie,Jon S. Baird,Steve Coogan,2018,7.2,75,PG,Biography,98
Zoom,Peter Hewitt,Tim Allen,2006,4.4,26,PG,Action,83
Old Yeller,Robert Stevenson,Dorothy McGuire,1957,7.2,84,Approved,Adventure,83
The Adventures of Milo and Otis,Masanori Hata,Kyôko Koizumi,1986,6.9,72,G,Adventure,76
Quest for Camelot,Frederik Du Chau,Jessalyn Gilsig,1998,6.2,50,G,Animation,86
Wendell & Wild,Henry Selick,Lyric Ross,2022,6.4,69,PG-13,Animation,105
The Wolf and the Lion,Gilles de Maistre,Molly Kunz,2021,6.2,36,PG,Adventure,99
Tall Girl 2,Emily Ting,Ava Michelle,2022,4.7,35,TV-PG,Comedy,97
Sherlock Gnomes,John Stevenson,Johnny Depp,2018,5.2,36,PG,Animation,86
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,Steve Carell,2014,6.2,54,PG,Comedy,81
Red Shoes and the Seven Dwarfs,Hong Sung-ho,Chloë Grace Moretz,2019,6.4,57.1,PG,Animation,92
Wolf Children,Mamoru Hosoda,Aoi Miyazaki,2012,8.1,71,PG,Animation,117
Batman: Mask of the Phantasm,Kevin Altieri,Kevin Conroy,1993,7.8,65,PG,Animation,76
Monster Trucks,Chris Wedge,Lucas Till,2016,5.7,41,PG,Action,104
Balto,Simon Wells,Kevin Bacon,1995,7.1,57.1,G,Animation,78
The Prince and Me,Martha Coolidge,Julia Stiles,2004,5.9,47,PG,Comedy,111
Ernest Scared Stupid,John R. Cherry III,Jim Varney,1991,5.8,38,PG,Comedy,91
Abominable,Jill Culton,Chloe Bennet,2019,7,61,PG,Animation,97
The Loud House Movie,Dave Needham,Asher Bishop,2021,6.1,57.1,TV-Y7,Animation,83
An Unfinished Life,Lasse Hallström,Jennifer Lopez,2005,7,49,PG-13,Drama,108
Where Is the Friend's House?,Abbas Kiarostami,Babek Ahmed Poor,1987,8.1,57.1,Not Rated,Drama,83
Ice Princess,Tim Fywell,Michelle Trachtenberg,2005,6,55,G,Comedy,98
Heaven Is for Real,Randall Wallace,Greg Kinnear,2014,5.8,47,PG,Biography,99
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Jim Sturgess,2010,6.9,53,PG,Animation,97
Tom and Huck,Peter Hewitt,Jonathan Taylor Thomas,1995,5.5,57.1,PG,Adventure,97
Star Wars: The Clone Wars,Dave Filoni,Matt Lanter,2008,5.9,35,PG,Animation,98
The Nutcracker and the Four Realms,Lasse Hallström,Mackenzie Foy,2018,5.6,39,PG,Adventure,99
Mighty Joe Young,Ron Underwood,Bill Paxton,1998,5.7,51,PG,Action,114
Something from Tiffany's,Daryl Wein,Zoey Deutch,2022,6.2,46,PG,Comedy,87
From Up on Poppy Hill,Gorô Miyazaki,Sarah Bolger,2011,7.4,71,PG,Animation,91
Author! Author!,Arthur Hiller,Al Pacino,1982,6.2,42,PG,Comedy,110
My Girl 2,Howard Zieff,Dan Aykroyd,1994,5.3,57.1,PG,Comedy,99
Wild America,William Dear,Jonathan Taylor Thomas,1997,6.4,57.1,PG,Action,106
Jimmy Neutron: Boy Genius,John A. Davis,Debi Derryberry,2001,6.1,65,G,Animation,82
Diary of a Wimpy Kid: The Long Haul,David Bowers,Jason Drucker,2017,4.3,39,PG,Adventure,91
Kangaroo Jack,David McNally,Anthony Anderson,2003,4.5,16,PG,Action,89
"I Love You, Beth Cooper",Chris Columbus,Hayden Panettiere,2009,5.3,32,PG-13,Adventure,102
Are We There Yet?,Brian Levant,Ice Cube,2005,4.8,27,PG,Adventure,95
The Transformers: The Movie,Nelson Shin,Orson Welles,1986,7.2,43,PG,Animation,84
A Summer Tale,Ulf Malmros,Kjell Bergqvist,2000,7.3,57.1,PG,Comedy,100
Curly Sue,John Hughes,Jim Belushi,1991,5.9,57.1,PG,Comedy,101
Little Big League,Andrew Scheinman,Luke Edwards,1994,6.2,57,PG,Comedy,119
The House with a Clock in Its Walls,Eli Roth,Jack Black,2018,6.1,57,PG,Comedy,105
Pollyanna,David Swift,Jane Wyman,1960,7.4,66,G,Comedy,134
The Baby-Sitters Club,Melanie Mayron,Schuyler Fisk,1995,5.7,48,PG,Comedy,94
TMNT,Kevin Munroe,Patrick Stewart,2007,6.2,41,PG,Animation,87
1776,Peter H. Hunt,William Daniels,1972,7.6,57.1,PG,Drama,141
Happy Feet Two,George Miller,Elijah Wood,2011,5.8,50,PG,Animation,100
Aliens in the Attic,John Schultz,Ashley Tisdale,2009,5.4,42,PG,Adventure,86
Where Hope Grows,Chris Dowling,Kristoffer Polaha,2014,6.6,41,PG-13,Drama,95
Meet Me in St. Louis,Vincente Minnelli,Judy Garland,1944,7.5,94,Approved,Comedy,113
Secret Headquarters,Henry Joost,Owen Wilson,2022,5.2,47,PG,Action,104
The Watcher in the Woods,John Hough,Bette Davis,1980,6.1,52,PG,Family,84
The Big Green,Holly Goldberg Sloan,Steve Guttenberg,1995,5.5,57.1,PG,Comedy,100
The Mark of Zorro,Rouben Mamoulian,Tyrone Power,1940,7.5,57.1,Approved,Action,94
Around the World in 80 Days,Michael Anderson,David Niven,1956,6.7,69,G,Adventure,175
Paul Blart: Mall Cop 2,Andy Fickman,Kevin James,2015,4.4,13,PG,Action,94
Under the Boardwalk,David Soren,Keke Palmer,2023,5.9,57.1,PG,Animation,83
The Indian in the Cupboard,Frank Oz,Hal Scardino,1995,6,58,PG,Drama,96
My Little Pony: The Movie,Jayson Thiessen,Emily Blunt,2017,6.1,39,PG,Animation,99
Frankenweenie,Tim Burton,Winona Ryder,2012,6.9,74,PG,Animation,87
Song of the South,Harve Foster,Ruth Warrick,1946,6.9,54,Approved,Animation,94
The New Adventures of Pippi Longstocking,Ken Annakin,Tami Erin,1988,5.8,57.1,G,Adventure,100
Fat Albert,Joel Zwick,Kenan Thompson,2004,4.4,39,PG,Comedy,93
Rock-A-Doodle,Don Bluth,Glen Campbell,1991,6,57.1,G,Animation,77
Home on the Range,Will Finn,Judi Dench,2004,5.4,50,PG,Animation,76
Candy Cane Lane,Reginald Hudlin,Eddie Murphy,2023,5.6,47,PG,Comedy,117
The Pirates! Band of Misfits,Peter Lord,Hugh Grant,2012,6.7,73,PG,Animation,88
Thunderbirds,Jonathan Frakes,Bill Paxton,2004,4.3,36,PG,Action,95
G-Force,Hoyt Yeatman,Will Arnett,2009,5.1,41,PG,Animation,88
Father of the Bride Part II,Charles Shyer,Steve Martin,1995,6.1,49,PG,Comedy,106
My Oni Girl,Tomotaka Shibayama,Kenshô Ono,2024,6,57.1,TV-PG,Animation,112
Thumbelina,Don Bluth,Jodi Benson,1994,6.2,57.1,G,Animation,86
Good Burger 2,Phil Traill,Kel Mitchell,2023,5.3,48,TV-PG,Comedy,90
Feel the Beat,Elissa Down,Sofia Carson,2020,6.3,57.1,TV-G,Comedy,109
I Want to Eat Your Pancreas,Jun'ichi Fujise,Mahiro Takasugi,2018,8,57.1,Not Rated,Animation,109
Problem Child 2,Brian Levant,John Ritter,1991,4.9,57.1,PG-13,Comedy,90
Marmaduke,Tom Dey,Owen Wilson,2010,4.3,30,PG,Comedy,87
Song of the Sea,Tomm Moore,David Rawle,2014,8,85,PG,Animation,93
Tuck Everlasting,Jay Russell,Alexis Bledel,2002,6.6,66,PG,Drama,90
Cats & Dogs,Lawrence Guterman,Alec Baldwin,2001,5.2,47,PG,Action,87
Barnyard,Steve Oedekerk,Kevin James,2006,5.6,42,PG,Animation,90
The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,Louise Bourgoin,2010,6.3,57.1,PG,Action,107
The Smurfs 2,Raja Gosnell,Neil Patrick Harris,2013,5.3,34,PG,Animation,105
Paws of Fury: The Legend of Hank,Chris Bailey,Michael Cera,2022,5.7,45,PG,Animation,98
Asterix & Obelix: The Middle Kingdom,Guillaume Canet,Guillaume Canet,2023,5.1,57.1,TV-PG,Adventure,112
A Dog's Way Home,Charles Martin Smith,Ashley Judd,2019,6.7,50,PG,Adventure,96
Spy Kids: Armageddon,Robert Rodriguez,Connor Esterson,2023,4.3,55,PG,Action,97
Belle,Mamoru Hosoda,Kaho Nakamura,2021,7.1,83,PG,Animation,121
Jingle All the Way,Brian Levant,Arnold Schwarzenegger,1996,5.7,34,PG,Adventure,89
Curious George,Matthew O'Callaghan,Will Ferrell,2006,6.5,62,G,Animation,87
When Marnie Was There,Hiromasa Yonebayashi,Sara Takatsuki,2014,7.6,72,PG,Animation,103
The Little Vampire,Uli Edel,Jonathan Lipnicki,2000,5.7,45,PG,Adventure,95
The King's Daughter,Sean McNamara,Pierce Brosnan,2022,5.1,31,PG,Action,98
Ernest Goes to Camp,John R. Cherry III,Jim Varney,1987,5.5,24,PG,Comedy,92
"Yours, Mine & Ours",Raja Gosnell,Dennis Quaid,2005,5.5,38,PG,Comedy,88
Dragon Ball Super: Broly,Tatsuya Nagamine,Masako Nozawa,2018,7.7,59,PG,Animation,100
D3: The Mighty Ducks,Robert Lieberman,Emilio Estevez,1996,5.5,57.1,PG,Action,104
Bean,Mel Smith,Rowan Atkinson,1997,6.5,52,PG-13,Adventure,89
Three Men and a Little Lady,Emile Ardolino,Tom Selleck,1990,5.5,51,PG,Comedy,104
Mr. Popper's Penguins,Mark Waters,Jim Carrey,2011,6,53,PG,Comedy,94
The Tale of The Princess Kaguya,Isao Takahata,Chloë Grace Moretz,2013,8,89,PG,Animation,137
Muppet Treasure Island,Brian Henson,Tim Curry,1996,6.9,64,G,Action,99
Dumbo,Samuel Armstrong,Sterling Holloway,1941,7.2,96,G,Animation,64
Gulliver's Travels,Rob Letterman,Jack Black,2010,4.9,33,PG,Adventure,85
Babe: Pig in the City,George Miller,Magda Szubanski,1998,5.8,68,PG,Adventure,97
Wolfwalkers,Tomm Moore,Honor Kneafsey,2020,8,87,PG,Animation,103
ParaNorman,Chris Butler,Kodi Smit-McPhee,2012,7,72,PG,Animation,92
The Haunted Mansion,Rob Minkoff,Eddie Murphy,2003,5.2,34,PG,Comedy,88
The Addams Family,Greg Tiernan,Oscar Isaac,2019,5.8,46,PG,Animation,86
Ryan's World the Movie: Titan Universe Adventure,Albie Hecht,Albie Hecht,2024,5.4,57.1,PG,Animation,83
Cheaper by the Dozen,Gail Lerner,Gabrielle Union,2022,4.6,42,PG,Comedy,107
Spy Kids 2: Island of Lost Dreams,Robert Rodriguez,Alexa PenaVega,2002,5.3,66,PG,Action,100
A Dog's Journey,Gail Mancuso,Josh Gad,2019,7.4,43,PG,Adventure,109
The NeverEnding Story II: The Next Chapter,George Miller,Jonathan Brandis,1990,5.1,30,PG,Adventure,89
Gnomeo & Juliet,Kelly Asbury,James McAvoy,2011,5.9,53,G,Animation,84
"Honey, I Blew Up the Kid",Randal Kleiser,Rick Moranis,1992,4.9,50,PG,Adventure,89
Agent Cody Banks,Harald Zwart,Frankie Muniz,2003,5.1,41,PG,Action,102
The Ice Age Adventures of Buck Wild,Marshall Fels Elliott,Utkarsh Ambudkar,2022,4.3,30,PG,Animation,82
Christmas Oranges,John Lyde,Edward Herrmann,2012,6.7,57.1,PG,Drama,101
Garfield: A Tail of Two Kitties,Tim Hill,Breckin Meyer,2006,5,37,PG,Adventure,82
Mirror Mirror,Tarsem Singh,Lily Collins,2012,5.6,46,PG,Adventure,106
"Sinbad, the Sailor",Richard Wallace,Douglas Fairbanks Jr.,1947,6.1,57.1,Approved,Adventure,116
Lady and the Tramp,Charlie Bean,Tessa Thompson,2019,6.2,48,PG,Adventure,111
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Tom Kenny,2015,6,62,PG,Animation,92
Smurfs: The Lost Village,Kelly Asbury,Demi Lovato,2017,6,40,PG,Animation,90
UglyDolls,Kelly Asbury,Kelly Clarkson,2019,5.1,39,PG,Animation,87
Leap!,Eric Summer,Elle Fanning,2016,6.7,48,PG,Animation,89
The Brave Little Toaster,Jerry Rees,Jon Lovitz,1987,7.2,57.1,G,Animation,90
The Monkey King,Anthony Stacchi,Jimmy O. Yang,2023,5.8,59,PG,Animation,97
Looney Tunes: Back in Action,Joe Dante,Brendan Fraser,2003,5.8,64,PG,Animation,91
Togo,Ericson Core,Willem Dafoe,2019,7.9,69,PG,Adventure,113
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,Justin Long,2011,4.4,24,G,Adventure,87
Arthur and the Invisibles,Luc Besson,Freddie Highmore,2006,6,39,PG,Animation,94
Secretariat,Randall Wallace,Diane Lane,2010,7.2,61,PG,Biography,123
Astro Boy,David Bowers,Freddie Highmore,2009,6.2,53,PG,Animation,94
The Pagemaster,Pixote Hunt,Macaulay Culkin,1994,6.1,57.1,G,Animation,80
Good Burger,Brian Robbins,Kel Mitchell,1997,5.8,41,PG,Comedy,95
The Little Prince,Mark Osborne,Jeff Bridges,2015,7.6,70,PG,Animation,108
Wish Dragon,Chris Appelhans,Jimmy Wong,2021,7.2,59,PG,Animation,98
SpaceCamp,Harry Winer,Kate Capshaw,1986,5.7,40,PG,Adventure,107
Winnie the Pooh,Stephen J. Anderson,Jim Cummings,2011,7.1,74,G,Animation,63
An American Tail,Don Bluth,Dom DeLuise,1986,6.9,38,G,Animation,80
My Bodyguard,Tony Bill,Chris Makepeace,1980,7.1,67,PG,Comedy,102
The SpongeBob Movie: Sponge on the Run,Tim Hill,Tim Hill,2020,5.9,65,PG,Animation,91
Harry and the Hendersons,William Dear,John Lithgow,1987,6.1,42,PG,Comedy,110
Greater,David L. Hunt,Neal McDonough,2016,7.4,35,PG,Biography,130
Playing with Fire,Andy Fickman,John Cena,2019,5.1,24,PG,Comedy,96
The Beverly Hillbillies,Penelope Spheeris,Diedrich Bader,1993,5,37,PG,Comedy,92
5 Centimeters per Second,Makoto Shinkai,Kenji Mizuhashi,2007,7.5,57.1,TV-PG,Animation,63
The Cat Returns,Hiroyuki Morita,Chizuru Ikewaki,2002,7.1,70,G,Animation,75
Blueback,Robert Connolly,Mia Wasikowska,2022,5.9,59,PG,Drama,102
Titan A.E.,Don Bluth,Matt Damon,2000,6.6,48,PG,Animation,94
Inspector Gadget,David Kellogg,Matthew Broderick,1999,4.2,36,PG,Action,78
Ron's Gone Wrong,Sarah Smith,Jack Dylan Grazer,2021,7.1,65,PG,Animation,107
Scoob!,Tony Cervone,Will Forte,2020,5.6,43,PG,Animation,93
Doctor Dolittle,Betty Thomas,Eddie Murphy,1998,5.4,46,PG-13,Comedy,85
Race to Witch Mountain,Andy Fickman,Dwayne Johnson,2009,5.7,52,PG,Action,98
Finding Neverland,Marc Forster,Johnny Depp,2004,7.7,67,PG,Biography,106
Spirited,Sean Anders,Will Ferrell,2022,6.6,55,PG-13,Comedy,127
A Monster Calls,J.A. Bayona,Lewis MacDougall,2016,7.4,76,PG-13,Adventure,108
Bambi,James Algar,Hardie Albright,1942,7.3,91,Approved,Animation,69
Flubber,Les Mayfield,Robin Williams,1997,5.3,38,PG,Comedy,93
Pete's Dragon,David Lowery,Bryce Dallas Howard,2016,6.7,71,PG,Action,102
Herbie Fully Loaded,Angela Robinson,Lindsay Lohan,2005,4.9,47,G,Adventure,101
The Sleepover,Trish Sie,Sadie Stanley,2020,5.7,46,TV-PG,Action,100
The Santa Clause,John Pasquin,Tim Allen,1994,6.6,57,PG,Comedy,97
Peter Rabbit,Will Gluck,James Corden,2018,6.6,51,PG,Animation,95
RocketMan,Stuart Gillard,Harland Williams,1997,5.9,57.1,PG,Comedy,95
Christopher Robin,Marc Forster,Ewan McGregor,2018,7.2,60,PG,Adventure,104
Spies in Disguise,Nick Bruno,Rachel Brosnahan,2019,6.8,54,PG,Animation,102
Zookeeper,Frank Coraci,Kevin James,2011,5.2,30,PG,Comedy,102
Delivery Man,Ken Scott,Vince Vaughn,2013,6.3,44,PG-13,Comedy,105
Asterix & Obelix: Mission Cleopatra,Alain Chabat,Gérard Depardieu,2002,6.7,57.1,PG,Adventure,107
The Jungle Book,Stephen Sommers,Jason Scott Lee,1994,6,63,PG,Adventure,111
"Yours, Mine and Ours",Melville Shavelson,Lucille Ball,1968,7.1,57.1,Unrated,Comedy,111
Zombies 3,Paul Hoen,Milo Manheim,2022,5.4,57.1,TV-G,Drama,88
Hocus Pocus 2,Anne Fletcher,Bette Midler,2022,6,56,PG,Comedy,103
Marcel the Shell with Shoes On,Dean Fleischer Camp,Jenny Slate,2021,7.7,80,PG,Animation,90
Children of Heaven,Majid Majidi,Mohammad Amir Naji,1997,8.2,77,PG,Drama,89
Young Hearts,Anthony Schatteman,Lou Goossens,2024,8.1,57.1,PG,Drama,100
Jason and the Argonauts,Don Chaffey,Todd Armstrong,1963,7.3,69,G,Action,104
The Lego Ninjago Movie,Charlie Bean,Jackie Chan,2017,6,55,PG,Animation,101
Mr. Bean's Holiday,Steve Bendelack,Rowan Atkinson,2007,6.4,56,G,Comedy,90
The Last Unicorn,Jules Bass,Jeff Bridges,1982,7.3,70,G,Animation,92
The Rookie,John Lee Hancock,Dennis Quaid,2002,6.9,72,G,Drama,127
Little Monsters,Richard Greenberg,Fred Savage,1989,6,57.1,PG,Adventure,100
Dumbo,Tim Burton,Colin Farrell,2019,6.3,51,PG,Adventure,112
A Christmas Story,Bob Clark,Peter Billingsley,1983,7.9,77,PG,Comedy,93
The Grinch,Yarrow Cheney,Benedict Cumberbatch,2018,6.4,51,PG,Animation,85
Beauty and the Beast,Christophe Gans,Vincent Cassel,2014,6.4,39,PG-13,Drama,112
"20,000 Leagues Under the Sea",Richard Fleischer,Kirk Douglas,1954,7.2,83,G,Adventure,127
Pete's Dragon,Don Chaffey,Sean Marshall,1977,6.3,46,G,Animation,128
The Sword in the Stone,Wolfgang Reitherman,Rickie Sorensen,1963,7.1,61,G,Animation,79
Kubo and the Two Strings,Travis Knight,Charlize Theron,2016,7.7,84,PG,Animation,101
Because of Winn-Dixie,Wayne Wang,AnnaSophia Robb,2005,6.4,54,PG,Comedy,106
Surf Ninjas,Neal Israel,Ernie Reyes Sr.,1993,5.1,57.1,PG,Action,87
Diary of a Wimpy Kid: Dog Days,David Bowers,Zachary Gordon,2012,6.3,54,PG,Comedy,94
Jungle 2 Jungle,John Pasquin,Tim Allen,1997,5.2,42,PG,Comedy,105
Oliver & Company,George Scribner,Joey Lawrence,1988,6.6,58,G,Animation,74
A Wrinkle in Time,Ava DuVernay,Storm Reid,2018,4.3,53,PG,Adventure,109
Like Mike,John Schultz,Shad Moss,2002,5.4,47,PG,Comedy,99
Planes,Klay Hall,Carlos Alazraqui,2013,5.7,39,PG,Animation,91
The Black Cauldron,Ted Berman,Grant Bardsley,1985,6.3,59,PG,Animation,80
Stars in My Crown,Jacques Tourneur,Joel McCrea,1950,7.4,57.1,Approved,Family,89
Clifford the Big Red Dog,Walt Becker,Darby Camp,2021,5.9,55,PG,Adventure,96
Bedknobs and Broomsticks,Robert Stevenson,Angela Lansbury,1971,7,59,G,Animation,117
Where the Wild Things Are,Spike Jonze,Max Records,2009,6.7,71,PG,Adventure,101
Yes Day,Miguel Arteta,Jennifer Garner,2021,5.7,46,PG,Comedy,86
Storks,Nicholas Stoller,Andy Samberg,2016,6.8,56,PG,Animation,87
Wallace & Gromit: The Curse of the Were-Rabbit,Steve Box,Peter Sallis,2005,7.5,87,G,Animation,85
Confessions of a Teenage Drama Queen,Sara Sugarman,Lindsay Lohan,2004,4.7,33,PG,Comedy,89
Pinocchio,Norman Ferguson,Dickie Jones,1940,7.5,99,Approved,Animation,88
Pan,Joe Wright,Levi Miller,2015,5.7,36,PG,Action,111
Alvin and the Chipmunks: The Road Chip,Walt Becker,Jason Lee,2015,4.9,33,PG,Adventure,92
Back to the Outback,Harry Cripps,Eric Bana,2021,6.5,58,PG,Animation,95
Vivo,Kirk DeMicco,Lin-Manuel Miranda,2021,6.7,66,PG,Animation,95
Antz,Eric Darnell,Woody Allen,1998,6.5,73,PG,Animation,83
Cheaper by the Dozen 2,Adam Shankman,Steve Martin,2005,5.5,34,PG,Adventure,94
High School Musical 3: Senior Year,Kenny Ortega,Zac Efron,2008,5,57,G,Comedy,112
Cloudy with a Chance of Meatballs 2,Cody Cameron,Bill Hader,2013,6.3,59,PG,Animation,95
Like Stars on Earth,Aamir Khan,Darsheel Safary,2007,8.3,57.1,PG,Drama,162
*batteries not included,Matthew Robbins,Hume Cronyn,1987,6.6,54,PG,Comedy,107
Osmosis Jones,Bobby Farrelly,Laurence Fishburne,2001,6.3,57,PG,Animation,95
The Music Man,Morton DaCosta,Robert Preston,1962,7.7,76,G,Comedy,151
The Borrowers,Peter Hewitt,John Goodman,1997,5.9,57.1,PG,Adventure,89
Hannah Montana: The Movie,Peter Chelsom,Miley Cyrus,2009,4.7,47,G,Comedy,102
Penguins of Madagascar,Eric Darnell,Tom McGrath,2014,6.6,53,PG,Animation,92
The Munsters,Rob Zombie,Sheri Moon Zombie,2022,4.5,57,PG,Comedy,109
Slumberland,Francis Lawrence,Jason Momoa,2022,6.7,40,PG,Adventure,117
The Next Karate Kid,Christopher Cain,Pat Morita,1994,4.5,36,PG,Action,107
Big City Greens the Movie: Spacecation,Anna O'Brian,Anna Akana,2024,6.4,57.1,TV-Y7,Animation,82
Woody Woodpecker Goes to Camp,Jonathan A. Rosenbaum,Mary-Louise Parker,2024,4.5,57.1,TV-G,Animation,100
Mr. Holmes,Bill Condon,Ian McKellen,2015,6.8,67,PG,Crime,104
Charlotte's Web,Gary Winick,Dakota Fanning,2006,6.3,68,G,Adventure,97
PAW Patrol: The Movie,Cal Brunker,Tyler Perry,2021,6.1,50,G,Animation,86
Max,Boaz Yakin,Thomas Haden Church,2015,6.6,47,PG,Adventure,111
Sinbad: Legend of the Seven Seas,Patrick Gilmore,Brad Pitt,2003,6.7,48,PG,Animation,86
Man of the House,James Orr,Chevy Chase,1995,5.2,57.1,PG,Comedy,96
The Tiger's Apprentice,Raman Hui,Henry Golding,2024,5.7,55,PG,Animation,84
A Nashville Wish,Demetrius Navarro,Lee Greenwood,2024,5.3,57.1,PG,Drama,102
Blank Check,Rupert Wainwright,Brian Bonsall,1994,5.3,42,PG,Comedy,93
Swiss Family Robinson,Ken Annakin,John Mills,1960,7.1,61,Approved,Adventure,126
The Fox and the Hound,Ted Berman,Mickey Rooney,1981,7.2,65,G,Animation,83
Captain Underpants: The First Epic Movie,David Soren,Kevin Hart,2017,6.2,69,PG,Animation,89
City of Ember,Gil Kenan,Saoirse Ronan,2008,6.4,58,PG,Adventure,90
Hoodwinked!,Cory Edwards,Anne Hathaway,2005,6.5,45,PG,Animation,80
Explorers,Joe Dante,Ethan Hawke,1985,6.4,58,PG,Adventure,109
James and the Giant Peach,Henry Selick,Paul Terry,1996,6.7,78,PG,Animation,79
The Karate Kid Part III,John G. Avildsen,Ralph Macchio,1989,5.3,36,PG,Action,112
Oliver!,Carol Reed,Mark Lester,1968,7.4,74,G,Drama,153
The Secret of NIMH,Don Bluth,Elizabeth Hartman,1982,7.5,76,G,Animation,82
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,Paige Turco,1991,6,45,PG,Action,88
October Sky,Joe Johnston,Jake Gyllenhaal,1999,7.8,71,PG,Biography,108
Klaus,Sergio Pablos,Jason Schwartzman,2019,8.2,65,PG,Animation,96
The Ultimate Gift,Michael O. Sajbel,Drew Fuller,2006,7.3,49,PG,Drama,114
Home Alone 3,Raja Gosnell,Alex D. Linz,1997,4.6,57.1,PG,Action,102
"Lyle, Lyle, Crocodile",Josh Gordon,Javier Bardem,2022,6.1,51,PG,Adventure,106
Chip 'n Dale: Rescue Rangers,Akiva Schaffer,Andy Samberg,2022,7,66,PG,Animation,97
Lady and the Tramp,Clyde Geronimi,Barbara Luddy,1955,7.3,78,G,Animation,76
Chicken Little,Mark Dindal,Zach Braff,2005,5.7,48,G,Animation,81
The Secret Life of Pets 2,Chris Renaud,Patton Oswalt,2019,6.4,55,PG,Animation,86
The Thundermans Return,Trevor Kirschner,Kira Kosarin,2024,4.9,57.1,TV-G,Action,70
Evan Almighty,Tom Shadyac,Steve Carell,2007,5.4,37,PG,Comedy,96
We Have a Ghost,Christopher Landon,Jahi Di'Allo Winston,2023,6.1,53,PG-13,Adventure,126
Ramona and Beezus,Elizabeth Allen Rosenbaum,Joey King,2010,6.5,56,G,Comedy,103
Inkheart,Iain Softley,Brendan Fraser,2008,6.1,49,PG,Adventure,106
The Muppets,James Bobin,Amy Adams,2011,7.1,75,PG,Adventure,103
Problem Child,Dennis Dugan,Michael Oliver,1990,5.5,27,PG,Comedy,81
Ice Age: The Meltdown,Carlos Saldanha,Ray Romano,2006,6.8,59,PG,Animation,91
Whisper of the Heart,Yoshifumi Kondô,Yoko Honna,1995,7.8,75,G,Animation,111
The Boss Baby 2: Family Business,Tom McGrath,Alec Baldwin,2021,5.9,39,PG,Animation,107
Monsters vs. Aliens,Rob Letterman,Reese Witherspoon,2009,6.4,56,PG,Animation,94
Mr. Peabody & Sherman,Rob Minkoff,Ty Burrell,2014,6.8,59,PG,Animation,92
Sleeping Beauty,Les Clark,Mary Costa,1959,7.2,85,G,Animation,75
Percy Jackson: Sea of Monsters,Thor Freudenthal,Logan Lerman,2013,5.7,39,PG,Adventure,106
Little Giants,Duwayne Dunham,Rick Moranis,1994,6.4,57.1,PG,Comedy,107
Sleepover,Joe Nussbaum,Alexa PenaVega,2004,5.3,33,PG,Comedy,89
The Rescuers,John Lounsbery,Bob Newhart,1977,6.9,74,G,Animation,77
