Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Cats Don't Dance,Mark Dindal,Scott Bakula,1997,6.9,62,G,Animation,75
Tarzan,Reinhard Klooss,Kellan Lutz,2013,4.8,57.1,PG,Animation,94
The Magician's Elephant,Wendy Rogers,Noah Jupe,2023,6.6,53,PG,Animation,99
Stand by Me Doraemon 2,Ryuichi Yagi,Bakarhythm,2020,7.5,57.1,Not Rated,Animation,96
Nadanna Sambhavam,Vishnu Narayan,Biju Menon,2024,7.3,57.1,PG,Drama,100
Life with Father,Michael Curtiz,William Powell,1947,7.1,73,Approved,Comedy,118
I Believe,Juergen Peretzki,Rowan Smyth,2017,5.6,57.1,G,Drama,89
Spirit Untamed,Elaine Bogan,Isabela Merced,2021,5.5,49,PG,Animation,88
Godzilla vs. Mechagodzilla,Jun Fukuda,Masaaki Daimon,1974,6.2,57.1,PG,Animation,84
Hotel for Dogs,Thor Freudenthal,Emma Roberts,2009,5.5,51,PG,Comedy,100
The Adventures of Rocky & Bullwinkle,Des McAnuff,Robert De Niro,2000,4.3,36,PG,Adventure,92
Friendly Persuasion,William Wyler,Gary Cooper,1956,7.3,57.1,Approved,Drama,137
Gold Diggers: The Secret of Bear Mountain,Kevin James Dobson,Christina Ricci,1995,6,57.1,PG,Adventure,93
Mysterious Island,Cy Endfield,Michael Craig,1961,6.7,57.1,Approved,Adventure,101
Lunana: A Yak in the Classroom,Pawo Choyning Dorji,Sherab Dorji,2019,7.5,76,PG,Drama,100
Judy Moody and the Not Bummer Summer,John Schultz,Jordana Beatty,2011,4.3,37,PG,Comedy,91
Kung Fu Yoga,Stanley Tong,Jackie Chan,2017,5.2,50,Not Rated,Action,107
Iron Will,Charles Haid,Mackenzie Astin,1994,6.6,56,PG,Adventure,108
Trouble,Kevin Johnson,Big Sean,2019,5.8,57.1,TV-Y7,Animation,87
The Adventures of Huck Finn,Stephen Sommers,Elijah Wood,1993,6.2,57.1,PG,Adventure,108
Babes in Toyland,Jack Donohue,Ray Bolger,1961,6.1,55,Approved,Comedy,106
The Court Jester,Melvin Frank,Danny Kaye,1955,7.8,57.1,Approved,Adventure,101
The Secret of Roan Inish,John Sayles,Jeni Courtney,1994,7.4,80,PG,Drama,103
Thunderstruck,John Whitesell,Kevin Durant,2012,5.1,57.1,PG,Comedy,94
Prom,Joe Nussbaum,Aimee Teegarden,2011,5.4,50,PG,Comedy,104
Secret of the Wings,Bobs Gannaway,Mae Whitman,2012,7,57.1,G,Animation,75
The Santa Clause 2,Michael Lembeck,Tim Allen,2002,5.7,48,G,Comedy,104
A Kid in King Arthur's Court,Michael Gottlieb,Thomas Ian Nicholas,1995,4.7,34,PG,Adventure,89
The Journey of Natty Gann,Jeremy Kagan,Meredith Salenger,1985,7,66,PG,Adventure,101
Asterix and Obelix vs. Caesar,Claude Zidi,Christian Clavier,1999,6,57.1,Not Rated,Adventure,109
Follow That Bird,Ken Kwapis,Caroll Spinney,1985,6.7,59,G,Adventure,88
My Father and My Son,Çagan Irmak,Çetin Tekindor,2005,8.2,57.1,Not Rated,Drama,112
Hoodwinked Too! Hood vs. Evil,Mike Disa,Hayden Panettiere,2011,4.7,20,PG,Animation,86
"Big Mommas: Like Father, Like Son",John Whitesell,Martin Lawrence,2011,4.4,22,PG-13,Action,107
The Thief of Bagdad,Ludwig Berger,Conrad Veidt,1940,7.4,57.1,Approved,Adventure,106
When the Game Stands Tall,Thomas Carter,Jim Caviezel,2014,6.6,41,PG,Biography,115
Catch That Kid,Bart Freundlich,Kristen Stewart,2004,5.2,33,PG,Action,91
House Arrest,Harry Winer,Jamie Lee Curtis,1996,5.8,57.1,PG,Comedy,108
Igor,Tony Leondis,John Cusack,2008,5.9,40,PG,Animation,87
New York Minute,Dennie Gordon,Mary-Kate Olsen,2004,4.9,33,PG,Adventure,91
Bandslam,Todd Graff,Aly Michalka,2009,6.3,66,PG,Comedy,111
All About Steve,Phil Traill,Sandra Bullock,2009,4.8,17,PG-13,Comedy,99
